月份,施工项目项目个数_累计值,施工项目项目个数_累计增减额,新开工项目项目个数_累计值,新开工项目项目个数_累计增减额,地区
201704,2914,443,618,108,贵州省
201705,2969,367,671,72,贵州省
201706,3657,922,1112,381,贵州省
201707,4805,1829,1819,877,贵州省
201708,6074,3032,2669,1664,贵州省
201709,8265,4069,4196,2037,贵州省
201710,9351,4666,4939,2299,贵州省
201711,10870,5578,6360,3123,贵州省
201712,17061,8265,11643,5682,贵州省
201801,0,0,0,0,贵州省
201802,0,0,0,0,贵州省
201803,0,0,0,0,贵州省
201804,0,0,0,0,贵州省
201805,0,0,0,0,贵州省
201806,0,0,0,0,贵州省
201807,0,0,0,0,贵州省
201808,0,0,0,0,贵州省
201809,0,0,0,0,贵州省
201810,0,0,0,0,贵州省
201811,0,0,0,0,贵州省
201812,0,0,0,0,贵州省
200801,0,0,0,0,云南省
200802,2669,647,483,96,云南省
200803,4325,1015,1436,416,云南省
200804,5107,384,2103,367,云南省
200805,5906,63,2763,267,云南省
200806,7049,68,3685,54,云南省
200807,7983,252,4515,140,云南省
200808,8843,613,5369,497,云南省
200809,10163,907,6575,681,云南省
200810,11294,1111,7638,817,云南省
200811,12374,1345,8599,932,云南省
200812,13360,1642,9339,666,云南省
200901,0,0,0,0,云南省
200902,3329,660,747,264,云南省
200903,5004,679,1838,402,云南省
200904,6520,1413,2851,748,云南省
200905,7766,1860,3890,1127,云南省
200906,8570,1521,4611,926,云南省
200907,11195,3212,6173,1658,云南省
200908,12465,3622,7179,1810,云南省
200909,13483,3320,8197,1622,云南省
200910,14613,3319,9327,1689,云南省
200911,15686,3312,10344,1745,云南省
200912,18712,5603,13001,3875,云南省
201001,0,0,0,0,云南省
201002,9539,6210,918,171,云南省
201003,9886,4882,1265,-573,云南省
201004,10443,3923,1822,-1029,云南省
201005,10868,3102,2247,-1643,云南省
201006,11485,2915,2864,-1747,云南省
201007,11835,640,3214,-2959,云南省
201008,13099,634,4478,-2701,云南省
201009,13109,-374,4488,-3709,云南省
201010,13613,-1000,4992,-4335,云南省
201011,14324,-1362,5703,-4641,云南省
201012,16003,-2705,7382,-5615,云南省
201101,0,0,0,0,云南省
201102,2131,-3788,262,-1172,云南省
201103,4222,-2411,1050,-1098,云南省
201104,4840,-2507,1543,-1319,云南省
201105,5638,-2423,2089,-1487,云南省
201106,6837,-1938,3063,-1227,云南省
201107,7497,-1992,3592,-1412,云南省
201108,8289,-1914,4225,-1493,云南省
201109,9191,-1726,5029,-1403,云南省
201110,10037,-1594,5832,-1314,云南省
201111,10575,-1770,6335,-1525,云南省
201112,10921,-2138,6630,-1944,云南省
201201,0,0,0,0,云南省
201202,3477,1346,728,466,云南省
201203,5421,1199,2003,953,云南省
201204,6711,1871,2986,1443,云南省
201205,7911,2273,4046,1957,云南省
201206,9584,2747,5556,2493,云南省
201207,10202,2705,6106,2514,云南省
201208,11370,3081,7154,2929,云南省
201209,12706,3515,8417,3388,云南省
201210,14169,4132,9823,3991,云南省
201211,15240,4665,10817,4482,云南省
201212,15715,4776,11228,4561,云南省
201301,0,0,0,0,云南省
201302,4288,811,1001,273,云南省
201303,6254,833,2356,353,云南省
201304,7851,1140,3630,644,云南省
201305,9303,1392,4959,913,云南省
201306,10694,1110,6263,707,云南省
201307,11492,1290,6960,854,云南省
201308,12491,1121,7890,736,云南省
201309,13601,895,8946,529,云南省
201310,15181,1012,10470,647,云南省
201311,16317,1077,11601,784,云南省
201312,17311,2370,12522,2007,云南省
201401,0,0,0,0,云南省
201402,4400,112,748,-253,云南省
201403,6106,-148,1826,-530,云南省
201404,8196,345,3652,22,云南省
201405,9885,582,5201,242,云南省
201406,12828,2134,7198,935,云南省
201407,14128,2636,8356,1396,云南省
201408,15870,3379,9339,1449,云南省
201409,17940,4339,10667,1721,云南省
201410,20260,5079,12439,1969,云南省
201411,22066,5749,14217,2616,云南省
201412,0,0,0,0,云南省
201501,0,0,0,0,云南省
201502,4498,98,464,-284,云南省
201503,7555,1449,2647,821,云南省
201504,9836,1640,4706,1054,云南省
201505,12205,2320,6848,1647,云南省
201506,12635,-193,7579,381,云南省
201507,16511,2383,10881,2525,云南省
201508,17847,1977,12157,2818,云南省
201509,20184,2244,14382,3715,云南省
201510,22121,1861,16266,3827,云南省
201511,23944,1878,18029,3812,云南省
201512,24787,5021,18812,3933,云南省
201601,0,0,0,0,云南省
201602,5409,911,628,164,云南省
201603,9346,1791,3561,914,云南省
201604,12716,2880,6508,1802,云南省
201605,15655,3450,9122,2274,云南省
201606,18649,6014,11949,4370,云南省
201607,21037,4526,14223,3342,云南省
201608,23514,5667,16577,4420,云南省
201609,26465,6281,19393,5011,云南省
201610,29490,7369,22320,6054,云南省
201611,31971,8027,24727,6698,云南省
201612,33327,8540,26020,7208,云南省
201701,0,0,0,0,云南省
201702,8991,3582,521,-107,云南省
201703,12776,3430,2585,-976,云南省
201704,15370,2654,4592,-1916,云南省
201705,18432,2777,7432,-1690,云南省
201706,22207,3558,10993,-956,云南省
201707,25024,3987,13657,-566,云南省
201708,27764,4250,16263,-314,云南省
201709,31497,5032,19882,489,云南省
201710,34799,5309,23114,794,云南省
201711,38723,6752,26954,2227,云南省
201712,40319,6992,28456,2436,云南省
201801,0,0,0,0,云南省
201802,0,0,0,0,云南省
201803,0,0,0,0,云南省
201804,0,0,0,0,云南省
201805,0,0,0,0,云南省
201806,0,0,0,0,云南省
201807,0,0,0,0,云南省
201808,0,0,0,0,云南省
201809,0,0,0,0,云南省
201810,0,0,0,0,云南省
201811,0,0,0,0,云南省
201812,0,0,0,0,云南省
200801,0,0,0,0,西藏自治区
200802,0,0,0,0,西藏自治区
200803,216,-141,27,-21,西藏自治区
200804,545,26,237,47,西藏自治区
200805,873,84,522,91,西藏自治区
200806,1276,134,895,131,西藏自治区
200807,1598,178,1209,184,西藏自治区
200808,1841,202,1451,208,西藏自治区
200809,2001,72,1592,67,西藏自治区
200810,2288,156,1874,156,西藏自治区
200811,2446,203,2021,192,西藏自治区
200812,2551,364,2119,349,西藏自治区
200901,0,0,0,0,西藏自治区
200902,16,16,9,9,西藏自治区
200903,464,248,159,132,西藏自治区
200904,1010,465,531,294,西藏自治区
200905,1633,760,1105,583,西藏自治区
200906,1840,564,1260,365,西藏自治区
200907,2208,610,1593,384,西藏自治区
200908,2454,613,1827,376,西藏自治区
200909,2751,750,2118,526,西藏自治区
200910,2884,596,2251,377,西藏自治区
200911,3014,568,2379,358,西藏自治区
200912,3157,570,2515,360,西藏自治区
201001,0,0,0,0,西藏自治区
201002,31,15,0,-9,西藏自治区
201003,205,-259,60,-99,西藏自治区
201004,733,-277,308,-223,西藏自治区
201005,1160,-473,540,-565,西藏自治区
201006,1453,-387,786,-474,西藏自治区
201007,1836,-372,1127,-466,西藏自治区
201008,2112,-342,1373,-454,西藏自治区
201009,2330,-421,1562,-556,西藏自治区
201010,2562,-322,1790,-461,西藏自治区
201011,2731,-283,1959,-420,西藏自治区
201012,2853,27,2080,-118,西藏自治区
201101,0,0,0,0,西藏自治区
201102,13,-18,1,1,西藏自治区
201103,251,103,47,16,西藏自治区
201104,563,82,178,36,西藏自治区
201105,826,581,351,244,西藏自治区
201106,1106,728,550,377,西藏自治区
201107,1260,241,684,194,西藏自治区
201108,1411,-549,813,-595,西藏自治区
201109,1587,-483,967,-526,西藏自治区
201110,1718,-452,1084,-504,西藏自治区
201111,1795,-474,1159,-528,西藏自治区
201112,1872,-478,1219,-546,西藏自治区
201201,0,0,0,0,西藏自治区
201202,45,32,3,2,西藏自治区
201203,367,116,122,75,西藏自治区
201204,721,158,295,117,西藏自治区
201205,1042,216,485,134,西藏自治区
201206,1373,267,730,180,西藏自治区
201207,1570,310,914,230,西藏自治区
201208,1754,343,1089,276,西藏自治区
201209,1951,364,1279,312,西藏自治区
201210,2158,440,1481,397,西藏自治区
201211,2326,531,1642,483,西藏自治区
201212,2344,492,1660,452,西藏自治区
201301,0,0,0,0,西藏自治区
201302,53,8,13,10,西藏自治区
201303,619,252,238,116,西藏自治区
201304,1045,324,410,115,西藏自治区
201305,1473,431,686,201,西藏自治区
201306,1889,516,1015,285,西藏自治区
201307,2107,537,1220,306,西藏自治区
201308,2245,491,1349,260,西藏自治区
201309,2411,460,1499,220,西藏自治区
201310,2625,467,1686,205,西藏自治区
201311,2716,390,1772,130,西藏自治区
201312,2750,409,1800,142,西藏自治区
201401,0,0,0,0,西藏自治区
201402,139,86,17,4,西藏自治区
201403,577,-42,121,-117,西藏自治区
201404,1053,8,372,-38,西藏自治区
201405,1455,-18,650,-36,西藏自治区
201406,1852,-37,903,-112,西藏自治区
201407,2141,34,1149,-71,西藏自治区
201408,2273,28,1273,-76,西藏自治区
201409,2530,119,1512,13,西藏自治区
201410,2658,33,1630,-56,西藏自治区
201411,2758,42,1726,-46,西藏自治区
201412,0,0,0,0,西藏自治区
201501,0,0,0,0,西藏自治区
201502,28,-111,9,-8,西藏自治区
201503,414,-163,58,-63,西藏自治区
201504,963,-90,263,-109,西藏自治区
201505,1477,22,564,-86,西藏自治区
201506,1916,64,855,-48,西藏自治区
201507,2263,122,1180,31,西藏自治区
201508,2572,299,1470,197,西藏自治区
201509,2860,330,1750,238,西藏自治区
201510,3044,386,1924,294,西藏自治区
201511,3170,412,2043,317,西藏自治区
201512,3212,377,2083,292,西藏自治区
201601,0,0,0,0,西藏自治区
201602,37,9,3,-6,西藏自治区
201603,797,383,318,260,西藏自治区
201604,1252,289,615,352,西藏自治区
201605,1980,503,1084,520,西藏自治区
201606,2594,678,1597,742,西藏自治区
201607,2988,725,1959,779,西藏自治区
201608,3392,820,2336,866,西藏自治区
201609,3766,906,2697,947,西藏自治区
201610,4059,1015,2971,1047,西藏自治区
201611,4260,1090,3168,1125,西藏自治区
201612,4254,1042,3163,1080,西藏自治区
201701,0,0,0,0,西藏自治区
201702,52,15,0,-3,西藏自治区
201703,950,153,223,-95,西藏自治区
201704,1780,528,589,-26,西藏自治区
201705,2672,692,1104,20,西藏自治区
201706,3408,814,1715,118,西藏自治区
201707,3960,972,2203,244,西藏自治区
201708,4460,1068,2676,340,西藏自治区
201709,4893,1127,3085,388,西藏自治区
201710,5322,1263,3506,535,西藏自治区
201711,5584,1324,3765,597,西藏自治区
201712,5646,1392,3826,663,西藏自治区
201801,0,0,0,0,西藏自治区
201802,0,0,0,0,西藏自治区
201803,0,0,0,0,西藏自治区
201804,0,0,0,0,西藏自治区
201805,0,0,0,0,西藏自治区
201806,0,0,0,0,西藏自治区
201807,0,0,0,0,西藏自治区
201808,0,0,0,0,西藏自治区
201809,0,0,0,0,西藏自治区
201810,0,0,0,0,西藏自治区
201811,0,0,0,0,西藏自治区
201812,0,0,0,0,西藏自治区
200801,0,0,0,0,陕西省
200802,1231,427,322,201,陕西省
200803,2710,761,1222,461,陕西省
200804,3666,835,1885,542,陕西省
200805,4688,1169,2717,833,陕西省
200806,5776,1288,3669,951,陕西省
200807,6502,1439,4343,1095,陕西省
200808,7068,1582,4861,1223,陕西省
200809,7622,1625,5390,1271,陕西省
200810,8144,1588,5890,1251,陕西省
200811,8526,1615,6265,1282,陕西省
200812,9071,1892,6744,1557,陕西省
200901,0,0,0,0,陕西省
200902,2034,803,636,314,陕西省
200903,4107,1397,2083,861,陕西省
200904,5650,1984,3323,1438,陕西省
200905,7358,2670,4859,2142,陕西省
200906,8879,3103,6261,2592,陕西省
200907,9806,3304,7126,2783,陕西省
200908,10579,3511,7866,3005,陕西省
200909,11712,4090,8959,3569,陕西省
200910,12940,4796,10167,4277,陕西省
200911,13224,4698,10451,4186,陕西省
200912,13887,4825,11076,4349,陕西省
201001,0,0,0,0,陕西省
201002,2436,402,115,-521,陕西省
201003,3958,-149,824,-1259,陕西省
201004,5380,-270,1781,-1542,陕西省
201005,6895,-463,3054,-1805,陕西省
201006,8930,51,4940,-1321,陕西省
201007,9326,-480,5291,-1835,陕西省
201008,10580,1,6472,-1394,陕西省
201009,11704,-8,7509,-1450,陕西省
201010,11811,-1129,7604,-2563,陕西省
201011,13039,-185,8817,-1634,陕西省
201012,13211,-720,8934,-2263,陕西省
201101,0,0,0,0,陕西省
201102,2566,166,46,-39,陕西省
201103,4006,310,481,-248,陕西省
201104,5088,-591,1133,-818,陕西省
201105,6475,206,2149,-548,陕西省
201106,8078,-221,3580,-828,陕西省
201107,8783,373,4212,-394,陕西省
201108,9470,376,4841,-436,陕西省
201109,10295,547,5620,-273,陕西省
201110,11108,744,6379,-112,陕西省
201111,11902,858,7108,-25,陕西省
201112,12256,540,7433,-172,陕西省
201201,0,0,0,0,陕西省
201202,2771,205,132,86,陕西省
201203,4457,451,862,381,陕西省
201204,6057,969,1936,803,陕西省
201205,7699,1224,3265,1116,陕西省
201206,9450,1372,4887,1307,陕西省
201207,10504,1721,5841,1629,陕西省
201208,11181,1711,6465,1624,陕西省
201209,12251,1956,7428,1808,陕西省
201210,13201,2093,8294,1915,陕西省
201211,14033,2131,9064,1956,陕西省
201212,14583,2335,9527,2096,陕西省
201301,0,0,0,0,陕西省
201302,3271,500,267,135,陕西省
201303,5370,913,1361,499,陕西省
201304,7045,988,2551,615,陕西省
201305,8890,1191,3973,708,陕西省
201306,10695,1245,5553,666,陕西省
201307,11620,1116,6400,559,陕西省
201308,12466,1285,7155,690,陕西省
201309,13647,1396,8287,859,陕西省
201310,14745,1544,9327,1033,陕西省
201311,15769,1736,10310,1246,陕西省
201312,16329,1746,10787,1260,陕西省
201401,0,0,0,0,陕西省
201402,3535,264,262,-5,陕西省
201403,5914,544,1576,215,陕西省
201404,7493,448,2634,83,陕西省
201405,9550,660,4410,437,陕西省
201406,11853,1158,6501,948,陕西省
201407,13153,1533,7697,1297,陕西省
201408,14198,1732,8677,1522,陕西省
201409,15525,1878,9948,1661,陕西省
201410,16611,1866,10992,1665,陕西省
201411,17839,2070,12173,1863,陕西省
201412,0,0,0,0,陕西省
201501,0,0,0,0,陕西省
201502,3485,-50,374,112,陕西省
201503,6004,90,2022,446,陕西省
201504,7980,487,3673,1039,陕西省
201505,10018,468,5461,1051,陕西省
201506,12934,1081,8204,1703,陕西省
201507,14932,1779,10113,2416,陕西省
201508,16324,2126,11454,2777,陕西省
201509,18115,2590,13187,3239,陕西省
201510,19417,2806,14428,3436,陕西省
201511,20684,2845,15666,3493,陕西省
201512,21657,3050,16595,3741,陕西省
201601,0,0,0,0,陕西省
201602,4175,690,975,601,陕西省
201603,7292,1288,3322,1300,陕西省
201604,9416,1436,5012,1339,陕西省
201605,11583,1565,6922,1461,陕西省
201606,15094,2160,10202,1998,陕西省
201607,16922,1990,11925,1812,陕西省
201608,18840,2516,13776,2322,陕西省
201609,22134,4019,16892,3705,陕西省
201610,23751,4334,18599,4171,陕西省
201611,25399,4715,20195,4529,陕西省
201612,26447,4790,21214,4619,陕西省
201701,0,0,0,0,陕西省
201702,6589,2414,805,-170,陕西省
201703,10188,2896,3039,-283,陕西省
201704,12747,3331,5014,2,陕西省
201705,15881,4298,7863,941,陕西省
201706,21088,5994,12737,2535,陕西省
201707,22946,6024,14520,2595,陕西省
201708,25429,6589,16938,3162,陕西省
201709,29446,7312,20870,3978,陕西省
201710,31814,8063,23159,4560,陕西省
201711,34503,9104,25814,5619,陕西省
201712,36324,9877,27601,6387,陕西省
201801,0,0,0,0,陕西省
201802,0,0,0,0,陕西省
201803,0,0,0,0,陕西省
201804,0,0,0,0,陕西省
201805,0,0,0,0,陕西省
201806,0,0,0,0,陕西省
201807,0,0,0,0,陕西省
201808,0,0,0,0,陕西省
201809,0,0,0,0,陕西省
201810,0,0,0,0,陕西省
201811,0,0,0,0,陕西省
201812,0,0,0,0,陕西省
200801,0,0,0,0,甘肃省
200802,245,110,19,-11,甘肃省
200803,1628,485,741,252,甘肃省
200804,3226,784,1665,454,甘肃省
200805,4269,525,2568,309,甘肃省
200806,5554,590,3675,508,甘肃省
200807,6096,380,4151,327,甘肃省
200808,6567,269,4600,245,甘肃省
200809,6815,111,4826,68,甘肃省
200810,7406,-92,5405,-79,甘肃省
200811,7713,103,5697,127,甘肃省
200812,7822,-169,5739,-126,甘肃省
200901,0,0,0,0,甘肃省
200902,242,-3,65,46,甘肃省
200903,1943,315,920,179,甘肃省
200904,3579,353,1968,303,甘肃省
200905,4914,645,3069,501,甘肃省
200906,6278,724,4262,587,甘肃省
200907,7045,949,4806,655,甘肃省
200908,7546,979,5305,705,甘肃省
200909,8295,1480,6054,1228,甘肃省
200910,8788,1382,6525,1120,甘肃省
200911,9233,1520,6837,1140,甘肃省
200912,9460,1638,7064,1323,甘肃省
201001,0,0,0,0,甘肃省
201002,345,103,61,-4,甘肃省
201003,2149,206,1009,89,甘肃省
201004,3625,46,1927,-41,甘肃省
201005,4970,56,2902,-167,甘肃省
201006,6148,-130,3840,-422,甘肃省
201007,6895,-150,4517,-289,甘肃省
201008,7463,-83,5039,-266,甘肃省
201009,8001,-294,5577,-477,甘肃省
201010,8763,-25,6043,-482,甘肃省
201011,9202,-31,6482,-355,甘肃省
201012,9547,95,6827,-229,甘肃省
201101,0,0,0,0,甘肃省
201102,464,138,54,-2,甘肃省
201103,2796,540,1260,108,甘肃省
201104,3220,-777,1548,-760,甘肃省
201105,4007,-1560,2163,-1338,甘肃省
201106,4550,-2476,2691,-2016,甘肃省
201107,4748,-3254,2879,-2725,甘肃省
201108,5103,-3642,3182,-3114,甘肃省
201109,5491,-3975,3518,-3495,甘肃省
201110,5993,-4278,3947,-3597,甘肃省
201111,5993,-4838,3947,-4155,甘肃省
201112,7813,-3340,5410,-3014,甘肃省
201201,0,0,0,0,甘肃省
201202,350,-114,68,14,甘肃省
201203,1732,-1064,675,-585,甘肃省
201204,3070,-150,1622,74,甘肃省
201205,4095,88,2470,307,甘肃省
201206,4798,248,3155,464,甘肃省
201207,4888,140,3242,363,甘肃省
201208,5125,22,3479,297,甘肃省
201209,5293,-198,3647,129,甘肃省
201210,5501,-492,3855,-92,甘肃省
201211,5501,-492,3855,-92,甘肃省
201212,5802,-2011,4097,-1313,甘肃省
201301,0,0,0,0,甘肃省
201302,349,-1,51,-17,甘肃省
201303,1823,91,585,-90,甘肃省
201304,3622,552,1674,52,甘肃省
201305,4069,-26,2115,-355,甘肃省
201306,5121,323,3055,-100,甘肃省
201307,5749,861,3587,345,甘肃省
201308,6222,1097,4019,540,甘肃省
201309,6697,1404,4462,815,甘肃省
201310,6804,1303,4565,710,甘肃省
201311,6833,1332,4593,738,甘肃省
201312,7318,1515,4977,880,甘肃省
201401,0,0,0,0,甘肃省
201402,912,563,132,81,甘肃省
201403,3092,1269,1167,582,甘肃省
201404,5520,1898,2811,1137,甘肃省
201405,7698,3629,4647,2532,甘肃省
201406,10147,5026,6879,3824,甘肃省
201407,10993,5244,7651,4064,甘肃省
201408,11871,5649,8439,4420,甘肃省
201409,12860,6163,9368,4906,甘肃省
201410,13556,6752,10019,5454,甘肃省
201411,13853,7020,10280,5687,甘肃省
201412,0,0,0,0,甘肃省
201501,0,0,0,0,甘肃省
201502,968,56,107,-25,甘肃省
201503,3753,661,1637,470,甘肃省
201504,6157,637,3105,294,甘肃省
201505,8362,664,4844,197,甘肃省
201506,12075,1928,8218,1339,甘肃省
201507,13512,2519,9553,1902,甘肃省
201508,14938,3067,10925,2486,甘肃省
201509,16286,3426,12273,2905,甘肃省
201510,17060,3504,12994,2975,甘肃省
201511,17060,3207,12994,2714,甘肃省
201512,17605,3624,13484,3133,甘肃省
201601,0,0,0,0,甘肃省
201602,1700,732,255,148,甘肃省
201603,5276,1523,2456,819,甘肃省
201604,8407,2250,4948,1843,甘肃省
201605,11677,3315,7816,2972,甘肃省
201606,16077,4002,11956,3738,甘肃省
201607,16861,3349,12689,3136,甘肃省
201608,18270,3332,14177,3252,甘肃省
201609,19974,3688,15863,3590,甘肃省
201610,21112,4052,16975,3981,甘肃省
201611,21591,4531,17448,4454,甘肃省
201612,22155,4550,18006,4522,甘肃省
201701,0,0,0,0,甘肃省
201702,2080,380,105,-150,甘肃省
201703,4411,-865,1285,-1171,甘肃省
201704,5467,-2940,2030,-2918,甘肃省
201705,7752,-3925,3974,-3842,甘肃省
201706,10080,-5997,6122,-5834,甘肃省
201707,10989,-5872,6975,-5714,甘肃省
201708,11687,-6583,7677,-6500,甘肃省
201709,12182,-7792,8169,-7694,甘肃省
201710,12672,-8440,8656,-8319,甘肃省
201711,13098,-8493,9068,-8380,甘肃省
201712,13261,-8894,9220,-8786,甘肃省
201801,0,0,0,0,甘肃省
201802,0,0,0,0,甘肃省
201803,0,0,0,0,甘肃省
201804,0,0,0,0,甘肃省
201805,0,0,0,0,甘肃省
201806,0,0,0,0,甘肃省
201807,0,0,0,0,甘肃省
201808,0,0,0,0,甘肃省
201809,0,0,0,0,甘肃省
201810,0,0,0,0,甘肃省
201811,0,0,0,0,甘肃省
201812,0,0,0,0,甘肃省
200801,0,0,0,0,青海省
200802,31,0,0,0,青海省
200803,207,14,44,-1,青海省
200804,611,58,204,-10,青海省
200805,1003,83,397,-51,青海省
200806,1380,36,705,-77,青海省
200807,1684,51,970,-83,青海省
200808,1936,91,1197,-48,青海省
200809,2169,131,1409,-14,青海省
200810,2352,180,1578,33,青海省
200811,2509,273,1610,6,青海省
200812,2522,284,1621,20,青海省
200901,0,0,0,0,青海省
200902,990,959,78,78,青海省
200903,379,172,134,90,青海省
200904,781,170,304,100,青海省
200905,1267,264,579,182,青海省
200906,1713,333,915,210,青海省
200907,1976,292,1149,179,青海省
200908,2225,289,1370,173,青海省
200909,2401,232,1524,115,青海省
200910,2621,269,1734,156,青海省
200911,2666,157,1770,160,青海省
200912,2683,289,1779,162,青海省
201001,0,0,0,0,青海省
201002,46,-944,2,-76,青海省
201003,293,-86,56,-78,青海省
201004,654,-127,206,-98,青海省
201005,1134,-133,499,-80,青海省
201006,1462,-251,702,-213,青海省
201007,7487,5511,914,-235,青海省
201008,1903,-322,1101,-269,青海省
201009,2103,-298,1291,-233,青海省
201010,2816,195,1451,-283,青海省
201011,2897,231,1515,-255,青海省
201012,2900,233,1516,-247,青海省
201101,0,0,0,0,青海省
201102,36,-12,4,2,青海省
201103,382,53,86,27,青海省
201104,865,165,274,83,青海省
201105,1455,378,590,181,青海省
201106,1886,503,875,285,青海省
201107,2201,619,1143,381,青海省
201108,2545,808,1397,495,青海省
201109,2623,681,1565,471,青海省
201110,2879,765,1792,546,青海省
201111,2965,782,1863,565,青海省
201112,2982,797,1867,568,青海省
201201,0,0,0,0,青海省
201202,41,5,0,-4,青海省
201203,418,36,82,-4,青海省
201204,1149,284,329,55,青海省
201205,1833,378,620,30,青海省
201206,2325,439,945,70,青海省
201207,2613,412,1175,32,青海省
201208,2903,358,1432,35,青海省
201209,3258,635,1734,169,青海省
201210,3478,599,1940,148,青海省
201211,3570,605,1998,135,青海省
201212,3577,586,2000,140,青海省
201301,0,0,0,0,青海省
201302,40,-1,0,0,青海省
201303,592,174,161,79,青海省
201304,1436,287,447,118,青海省
201305,2148,315,829,209,青海省
201306,2728,403,1224,279,青海省
201307,3084,471,1524,349,青海省
201308,3404,501,1798,366,青海省
201309,3720,462,2072,338,青海省
201310,3929,451,2267,327,青海省
201311,4065,495,2391,393,青海省
201312,4082,505,2404,405,青海省
201401,0,0,0,0,青海省
201402,72,32,20,20,青海省
201403,681,89,237,76,青海省
201404,1415,-21,484,37,青海省
201405,2144,-4,925,96,青海省
201406,2718,-10,1337,113,青海省
201407,3110,26,1662,138,青海省
201408,3474,70,1995,197,青海省
201409,3892,172,2312,240,青海省
201410,4193,264,2572,305,青海省
201411,4301,236,2655,264,青海省
201412,0,0,0,0,青海省
201501,0,0,0,0,青海省
201502,51,-21,2,-18,青海省
201503,699,18,230,-7,青海省
201504,1547,132,599,115,青海省
201505,2276,132,1040,115,青海省
201506,2956,238,1612,275,青海省
201507,3355,245,1939,277,青海省
201508,3823,349,2337,342,青海省
201509,4290,398,2725,413,青海省
201510,4678,485,3058,486,青海省
201511,4900,599,3245,590,青海省
201512,4935,620,3264,598,青海省
201601,0,0,0,0,青海省
201602,675,624,55,53,青海省
201603,1180,481,299,69,青海省
201604,1708,161,494,-105,青海省
201605,2111,-165,841,-199,青海省
201606,2782,-174,1351,-261,青海省
201607,3277,-78,1747,-192,青海省
201608,3925,102,2317,-20,青海省
201609,4566,276,2883,158,青海省
201610,5089,411,3381,323,青海省
201611,5377,477,3634,389,青海省
201612,5445,510,3694,430,青海省
201701,0,0,0,0,青海省
201702,107,-568,1,-54,青海省
201703,851,-329,154,-145,青海省
201704,1712,4,381,-113,青海省
201705,2582,471,873,32,青海省
201706,3262,480,1400,49,青海省
201707,3789,512,1829,82,青海省
201708,4308,383,2267,-50,青海省
201709,4982,416,2856,-27,青海省
201710,5741,652,3545,164,青海省
201711,6175,798,3952,318,青海省
201712,6230,785,4002,308,青海省
201801,0,0,0,0,青海省
201802,0,0,0,0,青海省
201803,0,0,0,0,青海省
201804,0,0,0,0,青海省
201805,0,0,0,0,青海省
201806,0,0,0,0,青海省
201807,0,0,0,0,青海省
201808,0,0,0,0,青海省
201809,0,0,0,0,青海省
201810,0,0,0,0,青海省
201811,0,0,0,0,青海省
201812,0,0,0,0,青海省
200801,0,0,0,0,宁夏回族自治区
200802,60,31,9,-6,宁夏回族自治区
200803,221,-1,80,-18,宁夏回族自治区
200804,509,-12,255,4,宁夏回族自治区
200805,840,75,514,69,宁夏回族自治区
200806,998,-1,657,17,宁夏回族自治区
200807,1107,30,756,38,宁夏回族自治区
200808,1200,4,837,3,宁夏回族自治区
200809,1299,-9,931,-7,宁夏回族自治区
200810,1379,-11,1011,-2,宁夏回族自治区
200811,1443,-6,1074,6,宁夏回族自治区
200812,1501,4,1126,20,宁夏回族自治区
200901,0,0,0,0,宁夏回族自治区
200902,99,39,22,13,宁夏回族自治区
200903,344,123,159,79,宁夏回族自治区
200904,654,145,369,114,宁夏回族自治区
200905,949,109,619,105,宁夏回族自治区
200906,1147,149,802,145,宁夏回族自治区
200907,1326,219,961,205,宁夏回族自治区
200908,1555,355,1176,339,宁夏回族自治区
200909,1668,369,1287,356,宁夏回族自治区
200910,1724,345,1339,328,宁夏回族自治区
200911,1812,369,1426,352,宁夏回族自治区
200912,1874,373,1482,356,宁夏回族自治区
201001,0,0,0,0,宁夏回族自治区
201002,107,8,15,-7,宁夏回族自治区
201003,326,-18,102,-57,宁夏回族自治区
201004,627,-27,259,-110,宁夏回族自治区
201005,935,-14,471,-148,宁夏回族自治区
201006,1266,119,780,-22,宁夏回族自治区
201007,1466,140,962,1,宁夏回族自治区
201008,1622,67,1113,-63,宁夏回族自治区
201009,1805,137,1291,4,宁夏回族自治区
201010,1902,178,1379,40,宁夏回族自治区
201011,1959,147,1435,9,宁夏回族自治区
201012,2084,210,1555,73,宁夏回族自治区
201101,0,0,0,0,宁夏回族自治区
201102,86,-25,21,7,宁夏回族自治区
201103,462,132,116,20,宁夏回族自治区
201104,749,93,252,-20,宁夏回族自治区
201105,1131,-6,511,-154,宁夏回族自治区
201106,1576,137,885,-54,宁夏回族自治区
201107,1820,190,1101,-10,宁夏回族自治区
201108,2055,298,1314,84,宁夏回族自治区
201109,2253,331,1486,96,宁夏回族自治区
201110,2376,354,1591,112,宁夏回族自治区
201111,2443,357,1650,107,宁夏回族自治区
201112,2497,292,1672,19,宁夏回族自治区
201201,0,0,0,0,宁夏回族自治区
201202,105,19,35,14,宁夏回族自治区
201203,511,49,171,55,宁夏回族自治区
201204,982,233,443,191,宁夏回族自治区
201205,1407,276,747,236,宁夏回族自治区
201206,1857,281,1127,242,宁夏回族自治区
201207,2134,314,1358,257,宁夏回族自治区
201208,2449,394,1659,345,宁夏回族自治区
201209,2692,439,1885,399,宁夏回族自治区
201210,2823,447,2007,416,宁夏回族自治区
